,Netflix,CrowdStrike Holdings,Alibaba,"Palo Alto Networks, Inc.",Alibaba Group Holding Limited,"JD.com, Inc.",Canoo Inc.,"Best Buy Co., Inc.",Tonix Pharmaceuticals Holding Corp.,Pinduoduo Inc.,"Bio-Path Holdings, Inc.",Pfizer Inc.,"AMC Entertainment Holdings, Inc.","Advanced Micro Devices, Inc.",New Oriental Education & Technology Group Inc.,Ford Motor Company,NVIDIA Corporation,NIO Inc.,TAL Education Group,AT&T co,Microsoft,Intel,Caspian Sunrise plc,Vobile Group Limited,TuSimple Holdings Inc.,"Doximity, Inc.",Stem Inc
1972-08-11,,,,,,,,,,0.9042930006980896,,,,,2.1532199382781982,,,,,,,,,,,,
1972-08-14,,,,,,,,,,0.9042930006980896,,,,,2.1653850078582764,,,,,,,,,,,,
1972-08-15,,,,,,,,,,0.8993520140647888,,,,,2.149164915084839,,,,,,,,,,,,
1972-08-16,,,,,,,,,,0.8944100141525269,,,,,2.0923941135406494,,,,,,,,,,,,
1972-08-17,,,,,,,,,,0.8968809843063354,,,,,2.128890037536621,,,,,,,,,,,,
1972-08-18,,,,,,,,,,0.8795859813690186,,,,,2.128890037536621,,,,,,,,,,,,
1972-08-21,,,,,,,,,,0.8795859813690186,,,,,2.13700008392334,,,,,,,,,,,,
1972-08-22,,,,,,,,,,0.8746439814567566,,,,,2.1694400310516357,,,,,,,,,,,,
1972-08-23,,,,,,,,,,0.8697029948234558,,,,,2.254595994949341,,,,,,,,,,,,
1972-08-24,,,,,,,,,,0.8647609949111938,,,,,2.2221550941467285,,,,,,,,,,,,
1972-08-25,,,,,,,,,,0.8548780083656311,,,,,2.193769931793213,,,,,,,,,,,,
1972-08-28,,,,,,,,,,0.8524069786071777,,,,,2.193769931793213,,,,,,,,,,,,
1972-08-29,,,,,,,,,,0.8573489785194397,,,,,2.1572749614715576,,,,,,,,,,,,
1972-08-30,,,,,,,,,,0.8524069786071777,,,,,2.141055107116699,,,,,,,,,,,,
1972-08-31,,,,,,,,,,0.8449950218200684,,,,,2.185659885406494,,,,,,,,,,,,
1972-09-01,,,,,,,,,,0.847465991973877,,,,,2.185659885406494,,,,,,,,,,,,
1972-09-05,,,,,,,,,,0.8499370217323303,,,,,2.1572749614715576,,,,,,,,,,,,
1972-09-06,,,,,,,,,,0.8277000188827515,,,,,2.141055107116699,,,,,,,,,,,,
1972-09-07,,,,,,,,,,0.8029929995536804,,,,,2.149164915084839,,,,,,,,,,,,
1972-09-08,,,,,,,,,,0.8153460025787354,,,,,2.1451098918914795,,,,,,,,,,,,
1972-09-11,,,,,,,,,,0.8104050159454346,,,,,2.141055107116699,,,,,,,,,,,,
1972-09-12,,,,,,,,,,0.7980509996414185,,,,,2.116724967956543,,,,,,,,,,,,
1972-09-13,,,,,,,,,,0.8079339861869812,,,,,2.128890037536621,,,,,,,,,,,,
1972-09-14,,,,,,,,,,0.8005220293998718,,,,,2.1248350143432617,,,,,,,,,,,,
1972-09-15,,,,,,,,,,0.8128759860992432,,,,,2.128890037536621,,,,,,,,,,,,
1972-09-18,,,,,,,,,,0.8153460025787354,,,,,2.1248350143432617,,,,,,,,,,,,
1972-09-19,,,,,,,,,,0.8252289891242981,,,,,2.116724967956543,,,,,,,,,,,,
1972-09-20,,,,,,,,,,0.8227589726448059,,,,,2.100503921508789,,,,,,,,,,,,
1972-09-21,,,,,,,,,,0.8252289891242981,,,,,2.0518438816070557,,,,,,,,,,,,
1972-09-22,,,,,,,,,,0.817816972732544,,,,,2.068063974380493,,,,,,,,,,,,
1972-09-25,,,,,,,,,,0.8104050159454346,,,,,2.0721189975738525,,,,,,,,,,,,
1972-09-26,,,,,,,,,,0.8252289891242981,,,,,2.0842840671539307,,,,,,,,,,,,
1972-09-27,,,,,,,,,,0.8449950218200684,,,,,2.116724967956543,,,,,,,,,,,,
1972-09-28,,,,,,,,,,0.8499370217323303,,,,,2.1451098918914795,,,,,,,,,,,,
1972-09-29,,,,,,,,,,0.847465991973877,,,,,2.161329984664917,,,,,,,,,,,,
1972-10-02,,,,,,,,,,0.8351119756698608,,,,,2.1653850078582764,,,,,,,,,,,,
1972-10-03,,,,,,,,,,0.817816972732544,,,,,2.1329450607299805,,,,,,,,,,,,
1972-10-04,,,,,,,,,,0.817816972732544,,,,,2.128890037536621,,,,,,,,,,,,
1972-10-05,,,,,,,,,,0.7881680130958557,,,,,2.116724967956543,,,,,,,,,,,,
1972-10-06,,,,,,,,,,0.8029929995536804,,,,,2.116724967956543,,,,,,,,,,,,
1972-10-09,,,,,,,,,,0.7980509996414185,,,,,2.1248350143432617,,,,,,,,,,,,
1972-10-10,,,,,,,,,,0.8054630160331726,,,,,2.141055107116699,,,,,,,,,,,,
1972-10-11,,,,,,,,,,0.8029929995536804,,,,,2.13700008392334,,,,,,,,,,,,
1972-10-12,,,,,,,,,,0.7955800294876099,,,,,2.1207799911499023,,,,,,,,,,,,
1972-10-13,,,,,,,,,,0.7856969833374023,,,,,2.08833909034729,,,,,,,,,,,,
1972-10-16,,,,,,,,,,0.7807559967041016,,,,,2.076174020767212,,,,,,,,,,,,
1972-10-17,,,,,,,,,,0.7881680130958557,,,,,2.068063974380493,,,,,,,,,,,,
1972-10-18,,,,,,,,,,0.778285026550293,,,,,2.076174020767212,,,,,,,,,,,,
1972-10-19,,,,,,,,,,0.7856969833374023,,,,,2.064008951187134,,,,,,,,,,,,
1972-10-20,,,,,,,,,,0.8054630160331726,,,,,2.100503921508789,,,,,,,,,,,,
1972-10-23,,,,,,,,,,0.8227589726448059,,,,,2.104559898376465,,,,,,,,,,,,
1972-10-24,,,,,,,,,,0.8252289891242981,,,,,2.13700008392334,,,,,,,,,,,,
1972-10-25,,,,,,,,,,0.8128759860992432,,,,,2.1248350143432617,,,,,,,,,,,,
1972-10-26,,,,,,,,,,0.8104050159454346,,,,,2.128890037536621,,,,,,,,,,,,
1972-10-27,,,,,,,,,,0.8128759860992432,,,,,2.149164915084839,,,,,,,,,,,,
1972-10-30,,,,,,,,,,0.8005220293998718,,,,,2.141055107116699,,,,,,,,,,,,
1972-10-31,,,,,,,,,,0.8104050159454346,,,,,2.149164915084839,,,,,,,,,,,,
1972-11-01,,,,,,,,,,0.8202880024909973,,,,,2.1978249549865723,,,,,,,,,,,,
1972-11-02,,,,,,,,,,0.8499370217323303,,,,,2.2586510181427,,,,,,,,,,,,
