,Target Corporation,Lowes companies Corporation
1973-02-21,0.42708298563957214,
1973-02-22,0.40885400772094727,
1973-02-23,0.40364599227905273,
1973-02-26,0.39583298563957214,
1973-02-27,0.390625,
1973-02-28,0.39583298563957214,
1973-03-01,0.40364599227905273,
1973-03-02,0.40625,
1973-03-05,0.3984380066394806,
1973-03-06,0.3984380066394806,
1973-03-07,0.3984380066394806,
1973-03-08,0.38020798563957214,
1973-03-09,0.39322900772094727,
1973-03-12,0.390625,
1973-03-13,0.39583298563957214,
1973-03-14,0.390625,
1973-03-15,0.390625,
1973-03-16,0.39322900772094727,
1973-03-19,0.390625,
1973-03-20,0.38541701436042786,
1973-03-21,0.38802099227905273,
1973-03-22,0.38020798563957214,
1973-03-23,0.37760400772094727,
1973-03-26,0.36979201436042786,
1973-03-27,0.36979201436042786,
1973-03-28,0.36979201436042786,
1973-03-29,0.359375,
1973-03-30,0.359375,
1973-04-02,0.34635400772094727,
1973-04-03,0.34895798563957214,
1973-04-04,0.359375,
1973-04-05,0.37760400772094727,
1973-04-06,0.40104201436042786,
1973-04-09,0.39583298563957214,
1973-04-10,0.39583298563957214,
1973-04-11,0.39583298563957214,
1973-04-12,0.40364599227905273,
1973-04-13,0.3984380066394806,
1973-04-16,0.40104201436042786,
1973-04-17,0.38541701436042786,
1973-04-18,0.38802099227905273,
1973-04-19,0.39322900772094727,
1973-04-23,0.3671880066394806,
1973-04-24,0.35416701436042786,
1973-04-25,0.3515630066394806,
1973-04-26,0.36197900772094727,
1973-04-27,0.36197900772094727,
1973-04-30,0.37239599227905273,
1973-05-01,0.36197900772094727,
1973-05-02,0.35416701436042786,
1973-05-03,0.36458298563957214,
1973-05-04,0.375,
1973-05-07,0.37239599227905273,
1973-05-08,0.3671880066394806,
1973-05-09,0.36979201436042786,
1973-05-10,0.35416701436042786,
1973-05-11,0.34895798563957214,
1973-05-14,0.34114599227905273,
1973-05-15,0.34635400772094727,
1973-05-16,0.36197900772094727,
1973-05-17,0.35677099227905273,
1973-05-18,0.35416701436042786,
1973-05-21,0.35416701436042786,
1973-05-22,0.3515630066394806,
1973-05-23,0.3515630066394806,
1973-05-24,0.36458298563957214,
1973-05-25,0.36979201436042786,
1973-05-29,0.359375,
1973-05-30,0.359375,
1973-05-31,0.35677099227905273,
1973-06-01,0.35416701436042786,
1973-06-04,0.34895798563957214,
1973-06-05,0.34895798563957214,
1973-06-06,0.3515630066394806,
1973-06-07,0.3515630066394806,
1973-06-08,0.359375,
1973-06-11,0.36458298563957214,
1973-06-12,0.375,
1973-06-13,0.375,
1973-06-14,0.36979201436042786,
1973-06-15,0.35416701436042786,
1973-06-18,0.35416701436042786,
1973-06-19,0.3515630066394806,
1973-06-20,0.3515630066394806,
1973-06-21,0.34375,
1973-06-22,0.34635400772094727,
1973-06-25,0.34375,
1973-06-26,0.34375,
1973-06-27,0.34375,
1973-06-28,0.34114599227905273,
1973-06-29,0.34114599227905273,
1973-07-02,0.34114599227905273,
1973-07-03,0.34114599227905273,
1973-07-05,0.34375,
1973-07-06,0.34375,
1973-07-09,0.34375,
1973-07-10,0.33854201436042786,
1973-07-11,0.33333298563957214,
1973-07-12,0.33333298563957214,
1973-07-13,0.32552099227905273,
1973-07-16,0.32552099227905273,
1973-07-17,0.31770798563957214,
1973-07-18,0.32291701436042786,
1973-07-19,0.33333298563957214,
1973-07-20,0.33072900772094727,
1973-07-23,0.3203130066394806,
1973-07-24,0.29427099227905273,
1973-07-25,0.30729201436042786,
1973-07-26,0.296875,
1973-07-27,0.3046880066394806,
1973-07-30,0.29947900772094727,
1973-07-31,0.29427099227905273,
1973-08-01,0.29166701436042786,
1973-08-02,0.29166701436042786,
1973-08-03,0.28645798563957214,
1973-08-06,0.29427099227905273,
1973-08-07,0.29427099227905273,
1973-08-08,0.28645798563957214,
1973-08-09,0.28125,
1973-08-10,0.28385400772094727,
1973-08-13,0.29166701436042786,
1973-08-14,0.2734380066394806,
1973-08-15,0.27864599227905273,
1973-08-16,0.28125,
1973-08-17,0.27604201436042786,
1973-08-20,0.26822900772094727,
1973-08-21,0.26822900772094727,
1973-08-22,0.26041701436042786,
1973-08-23,0.2421880066394806,
1973-08-24,0.24479199945926666,
1973-08-27,0.25,
1973-08-28,0.25,
1973-08-29,0.26302099227905273,
1973-08-30,0.2578130066394806,
1973-08-31,0.265625,
1973-09-04,0.25,
1973-09-05,0.2578130066394806,
1973-09-06,0.265625,
1973-09-07,0.2734380066394806,
1973-09-10,0.28645798563957214,
1973-09-11,0.28125,
1973-09-12,0.28125,
1973-09-13,0.27864599227905273,
1973-09-14,0.2734380066394806,
1973-09-17,0.28125,
1973-09-18,0.28385400772094727,
1973-09-19,0.27864599227905273,
1973-09-20,0.29166701436042786,
1973-09-21,0.28125,
1973-09-24,0.28385400772094727,
1973-09-25,0.28385400772094727,
1973-09-26,0.28645798563957214,
1973-09-27,0.30208298563957214,
1973-09-28,0.30208298563957214,
1973-10-01,0.29427099227905273,
1973-10-02,0.3046880066394806,
1973-10-03,0.30208298563957214,
1973-10-04,0.3203130066394806,
1973-10-05,0.3203130066394806,
1973-10-08,0.3046880066394806,
1973-10-09,0.29427099227905273,
1973-10-10,0.296875,
1973-10-11,0.3046880066394806,
1973-10-12,0.27604201436042786,
1973-10-15,0.27083298563957214,
1973-10-16,0.27604201436042786,
1973-10-17,0.26822900772094727,
1973-10-18,0.265625,
1973-10-19,0.25260400772094727,
1973-10-22,0.2578130066394806,
1973-10-23,0.26041701436042786,
1973-10-24,0.26302099227905273,
