Time	Open	High	Low	Close	Volume
2007-01-01 00:00:00	93.801	94.042	93.721	93.746	44807
2007-01-01 04:00:00	93.744	93.99	93.712	93.893	44962
2007-01-01 08:00:00	93.878	93.982	93.877	93.955	45908
2007-01-01 12:00:00	93.964	94.023	93.655	93.735	44329
2007-01-01 16:00:00	93.715	94.383	93.46	93.861	190749
2007-01-01 20:00:00	93.878	94.017	93.709	93.955	56994
2007-01-02 00:00:00	93.95	94.237	93.741	94.176	47475
2007-01-02 04:00:00	94.188	94.331	93.957	94.101	48394
2007-01-02 08:00:00	94.088	94.501	93.983	94.442	49073
2007-01-02 12:00:00	94.455	94.641	94.379	94.56	45889
2007-01-02 16:00:00	94.504	94.615	94.441	94.565	190585
2007-01-02 20:00:00	94.54	94.605	94.432	94.545	57465
2007-01-03 00:00:00	94.554	94.723	94.501	94.634	45677
2007-01-03 04:00:00	94.613	94.784	94.54	94.719	46567
2007-01-03 08:00:00	94.705	94.952	94.619	94.743	47194
2007-01-03 12:00:00	94.752	94.921	94.636	94.678	46411
2007-01-03 16:00:00	94.674	94.837	94.492	94.542	190824
2007-01-03 20:00:00	94.519	94.562	94.334	94.483	56577
2007-01-04 00:00:00	94.48	94.493	94.28	94.386	46456
2007-01-04 04:00:00	94.409	94.434	93.991	94.043	45997
2007-01-04 08:00:00	94.025	94.138	93.433	93.565	47095
2007-01-04 12:00:00	93.533	93.787	93.386	93.642	45003
2007-01-04 16:00:00	93.638	93.791	93.326	93.38	192997
2007-01-04 20:00:00	93.386	93.408	92.945	93.035	55423
2007-01-05 00:00:00	93.032	93.1	92.472	92.625	46520
2007-01-05 04:00:00	92.628	92.812	92.366	92.805	46570
2007-01-05 08:00:00	92.764	92.857	92.403	92.624	47153
2007-01-05 12:00:00	92.611	92.924	92.362	92.514	45457
2007-01-05 16:00:00	92.468	92.661	92.282	92.289	189983
2007-01-05 20:00:00	92.311	92.452	92.253	92.352	33283
2007-01-07 20:00:00	92.405	92.465	92.308	92.365	23370
2007-01-08 00:00:00	92.365	92.395	92.106	92.239	46981
2007-01-08 04:00:00	92.262	92.36	92.045	92.068	45956
2007-01-08 08:00:00	92.01	92.553	91.999	92.403	48937
2007-01-08 12:00:00	92.413	92.702	92.391	92.618	46222
2007-01-08 16:00:00	92.597	92.676	92.393	92.564	193013
2007-01-08 20:00:00	92.554	92.778	92.45	92.726	54869
2007-01-09 00:00:00	92.713	93.146	92.686	93.116	46211
2007-01-09 04:00:00	93.087	93.158	92.962	93.083	45371
2007-01-09 08:00:00	93.089	93.377	92.986	93.269	47637
2007-01-09 12:00:00	93.284	93.298	92.924	93.165	46607
2007-01-09 16:00:00	93.153	93.26	92.778	93.209	190984
2007-01-09 20:00:00	93.204	93.251	92.99	93.109	55150
2007-01-10 00:00:00	93.1	93.166	92.873	93.004	46841
2007-01-10 04:00:00	93.014	93.149	92.864	93.046	45800
2007-01-10 08:00:00	93.049	93.119	92.815	92.88	46731
2007-01-10 12:00:00	92.909	93.029	92.773	92.908	46093
2007-01-10 16:00:00	92.851	93	92.71	92.868	189851
2007-01-10 20:00:00	92.895	93.014	92.78	92.821	56342
2007-01-11 00:00:00	92.83	93.707	92.793	93.473	46626
2007-01-11 04:00:00	93.512	93.83	93.512	93.785	44631
2007-01-11 08:00:00	93.76	94.225	93.742	94.16	46420
2007-01-11 12:00:00	94.201	94.24	93.905	93.995	45542
2007-01-11 16:00:00	93.983	94.272	93.927	94.012	190694
2007-01-11 20:00:00	94.003	94.143	93.776	93.816	56147
2007-01-12 00:00:00	93.785	94.09	93.745	94.011	48000
2007-01-12 04:00:00	94.022	94.185	93.904	94.031	45470
2007-01-12 08:00:00	94.022	94.077	93.801	93.861	46955
2007-01-12 12:00:00	93.869	94.157	93.721	94.14	45115
2007-01-12 16:00:00	94.118	94.317	94.036	94.238	190474
2007-01-12 20:00:00	94.265	94.314	94.097	94.262	33260
2007-01-14 20:00:00	94.37	94.433	94.262	94.309	23085
2007-01-15 00:00:00	94.323	94.426	94.161	94.341	45684
2007-01-15 04:00:00	94.392	94.491	94.261	94.403	44848
2007-01-15 08:00:00	94.416	94.662	94.359	94.417	46374
2007-01-15 12:00:00	94.374	94.538	94.249	94.412	46548
2007-01-15 16:00:00	94.37	94.517	94.258	94.454	191075
2007-01-15 20:00:00	94.455	94.496	94.246	94.389	57199
2007-01-16 00:00:00	94.399	94.419	94.188	94.274	46387
2007-01-16 04:00:00	94.288	94.34	94.106	94.23	45842
2007-01-16 08:00:00	94.25	94.477	94.209	94.445	48755
2007-01-16 12:00:00	94.462	94.655	94.375	94.453	45843
2007-01-16 16:00:00	94.434	94.484	94.256	94.46	188122
2007-01-16 20:00:00	94.443	94.53	94.221	94.477	56185
2007-01-17 00:00:00	94.486	94.645	94.443	94.534	46547
2007-01-17 04:00:00	94.532	94.666	94.488	94.537	45102
2007-01-17 08:00:00	94.532	94.813	94.403	94.658	45816
2007-01-17 12:00:00	94.662	94.86	94.592	94.795	45862
2007-01-17 16:00:00	94.744	94.914	94.687	94.901	190506
2007-01-17 20:00:00	94.895	94.953	94.728	94.953	53915
2007-01-18 00:00:00	94.906	95.177	94.814	95.159	47430
2007-01-18 04:00:00	95.135	95.63	95.014	95.516	45433
2007-01-18 08:00:00	95.512	95.746	95.488	95.591	48326
2007-01-18 12:00:00	95.595	95.764	95.365	95.627	45095
2007-01-18 16:00:00	95.622	95.671	95.429	95.576	191599
2007-01-18 20:00:00	95.567	95.76	95.457	95.715	56174
2007-01-19 00:00:00	95.684	95.775	95.481	95.712	45524
2007-01-19 04:00:00	95.697	95.848	95.493	95.52	44851
2007-01-19 08:00:00	95.553	95.62	95.259	95.49	45791
2007-01-19 12:00:00	95.481	95.719	95.369	95.675	46682
2007-01-19 16:00:00	95.648	95.766	95.576	95.713	188021
2007-01-19 20:00:00	95.705	95.79	95.58	95.707	31899
2007-01-21 20:00:00	95.654	95.7	95.506	95.635	23844
2007-01-22 00:00:00	95.66	95.911	95.65	95.761	46205
2007-01-22 04:00:00	95.779	95.954	95.704	95.883	44371
2007-01-22 08:00:00	95.862	96.062	95.754	96.036	47817
2007-01-22 12:00:00	96.016	96.139	95.884	95.947	45472
2007-01-22 16:00:00	95.933	95.985	95.747	95.853	190499
2007-01-22 20:00:00	95.85	95.926	95.688	95.775	56036
2007-01-23 00:00:00	95.791	95.996	95.75	95.911	45743
2007-01-23 04:00:00	95.897	95.995	95.789	95.847	45582
2007-01-23 08:00:00	95.813	96.203	95.737	96.17	46533
2007-01-23 12:00:00	96.175	96.275	96.023	96.167	44114
2007-01-23 16:00:00	96.143	96.393	96.112	96.369	191603
